Fra_dato;Mængde;Måleenhed;Kvalitet;Type
09/04/2023 03.00;00.37;KWH;Målt;Tidsserie
09/04/2023 04.00;00.23;KWH;Målt;Tidsserie
09/04/2023 05.00;00.13;KWH;Målt;Tidsserie
09/04/2023 06.00;00.12;KWH;Målt;Tidsserie
09/04/2023 07.00;00.02;KWH;Målt;Tidsserie
09/04/2023 08.00;00.05;KWH;Målt;Tidsserie
09/04/2023 09.00;0;KWH;Målt;Tidsserie
09/04/2023 10.00;0;KWH;Målt;Tidsserie
09/04/2023 11.00;00.01;KWH;Målt;Tidsserie
09/04/2023 12.00;00.01;KWH;Målt;Tidsserie
09/04/2023 13.00;00.01;KWH;Målt;Tidsserie
09/04/2023 14.00;0;KWH;Målt;Tidsserie
09/04/2023 15.00;0;KWH;Målt;Tidsserie
09/04/2023 16.00;0;KWH;Målt;Tidsserie
09/04/2023 17.00;0;KWH;Målt;Tidsserie
09/04/2023 18.00;01.27;KWH;Målt;Tidsserie
09/04/2023 19.00;00.25;KWH;Målt;Tidsserie
09/04/2023 20.00;01.23;KWH;Målt;Tidsserie
09/04/2023 21.00;0.0479166666666667;KWH;Målt;Tidsserie
09/04/2023 22.00;00.36;KWH;Målt;Tidsserie
09/04/2023 23.00;00.33;KWH;Målt;Tidsserie
10/04/2023 00.00;00.39;KWH;Målt;Tidsserie
10/04/2023 01.00;00.39;KWH;Målt;Tidsserie
10/04/2023 02.00;00.38;KWH;Målt;Tidsserie
10/04/2023 03.00;00.39;KWH;Målt;Tidsserie
10/04/2023 04.00;00.34;KWH;Målt;Tidsserie
10/04/2023 05.00;00.13;KWH;Målt;Tidsserie
10/04/2023 06.00;0.0548611111111111;KWH;Målt;Tidsserie
10/04/2023 07.00;0.0430555555555556;KWH;Målt;Tidsserie
10/04/2023 08.00;0;KWH;Målt;Tidsserie
10/04/2023 09.00;00.45;KWH;Målt;Tidsserie
10/04/2023 10.00;0.0534722222222222;KWH;Målt;Tidsserie
10/04/2023 11.00;00.01;KWH;Målt;Tidsserie
10/04/2023 12.00;0;KWH;Målt;Tidsserie
10/04/2023 13.00;00.03;KWH;Målt;Tidsserie
10/04/2023 14.00;0;KWH;Målt;Tidsserie
10/04/2023 15.00;0;KWH;Målt;Tidsserie
10/04/2023 16.00;0;KWH;Målt;Tidsserie
10/04/2023 17.00;0.0520833333333333;KWH;Målt;Tidsserie
10/04/2023 18.00;01.19;KWH;Målt;Tidsserie
10/04/2023 19.00;00.45;KWH;Målt;Tidsserie
10/04/2023 20.00;00.37;KWH;Målt;Tidsserie
10/04/2023 21.00;00.36;KWH;Målt;Tidsserie
10/04/2023 22.00;00.12;KWH;Målt;Tidsserie
10/04/2023 23.00;00.11;KWH;Målt;Tidsserie
11/04/2023 00.00;00.11;KWH;Målt;Tidsserie
11/04/2023 01.00;00.11;KWH;Målt;Tidsserie
11/04/2023 02.00;00.11;KWH;Målt;Tidsserie
11/04/2023 03.00;00.11;KWH;Målt;Tidsserie
11/04/2023 04.00;00.11;KWH;Målt;Tidsserie
11/04/2023 05.00;00.01;KWH;Målt;Tidsserie
11/04/2023 06.00;00.16;KWH;Målt;Tidsserie
11/04/2023 07.00;00.02;KWH;Målt;Tidsserie
11/04/2023 08.00;00.06;KWH;Målt;Tidsserie
11/04/2023 09.00;0;KWH;Målt;Tidsserie
11/04/2023 10.00;0;KWH;Målt;Tidsserie
11/04/2023 11.00;0;KWH;Målt;Tidsserie
11/04/2023 12.00;00.06;KWH;Målt;Tidsserie
11/04/2023 13.00;0;KWH;Målt;Tidsserie
11/04/2023 14.00;0;KWH;Målt;Tidsserie
11/04/2023 15.00;00.04;KWH;Målt;Tidsserie
11/04/2023 16.00;0;KWH;Målt;Tidsserie
11/04/2023 17.00;0;KWH;Målt;Tidsserie
11/04/2023 18.00;00.58;KWH;Målt;Tidsserie
11/04/2023 19.00;0.0458333333333333;KWH;Målt;Tidsserie
11/04/2023 20.00;01.12;KWH;Målt;Tidsserie
11/04/2023 21.00;00.46;KWH;Målt;Tidsserie
11/04/2023 22.00;00.37;KWH;Målt;Tidsserie
11/04/2023 23.00;00.12;KWH;Målt;Tidsserie
12/04/2023 00.00;00.12;KWH;Målt;Tidsserie
12/04/2023 01.00;00.12;KWH;Målt;Tidsserie
12/04/2023 02.00;00.13;KWH;Målt;Tidsserie
12/04/2023 03.00;00.13;KWH;Målt;Tidsserie
12/04/2023 04.00;00.14;KWH;Målt;Tidsserie
12/04/2023 05.00;00.15;KWH;Målt;Tidsserie
12/04/2023 06.00;00.11;KWH;Målt;Tidsserie
12/04/2023 07.00;0;KWH;Målt;Tidsserie
12/04/2023 08.00;00.01;KWH;Målt;Tidsserie
12/04/2023 09.00;00.07;KWH;Målt;Tidsserie
12/04/2023 10.00;0;KWH;Målt;Tidsserie
12/04/2023 11.00;00.02;KWH;Målt;Tidsserie
12/04/2023 12.00;0;KWH;Målt;Tidsserie
12/04/2023 13.00;00.01;KWH;Målt;Tidsserie
12/04/2023 14.00;00.02;KWH;Målt;Tidsserie
12/04/2023 15.00;00.01;KWH;Målt;Tidsserie
12/04/2023 16.00;00.07;KWH;Målt;Tidsserie
12/04/2023 17.00;00.45;KWH;Målt;Tidsserie
12/04/2023 18.00;0.0881944444444445;KWH;Målt;Tidsserie
12/04/2023 19.00;0.0631944444444444;KWH;Målt;Tidsserie
12/04/2023 20.00;00.38;KWH;Målt;Tidsserie
12/04/2023 21.00;00.42;KWH;Målt;Tidsserie
12/04/2023 22.00;00.37;KWH;Målt;Tidsserie
12/04/2023 23.00;00.13;KWH;Målt;Tidsserie
13/04/2023 00.00;00.12;KWH;Målt;Tidsserie
13/04/2023 01.00;00.12;KWH;Målt;Tidsserie
13/04/2023 02.00;00.13;KWH;Målt;Tidsserie
13/04/2023 03.00;00.13;KWH;Målt;Tidsserie
13/04/2023 04.00;00.13;KWH;Målt;Tidsserie
13/04/2023 05.00;00.15;KWH;Målt;Tidsserie
13/04/2023 06.00;00.18;KWH;Målt;Tidsserie
13/04/2023 07.00;00.13;KWH;Målt;Tidsserie
13/04/2023 08.00;00.09;KWH;Målt;Tidsserie
13/04/2023 09.00;00.04;KWH;Målt;Tidsserie
13/04/2023 10.00;0;KWH;Målt;Tidsserie
13/04/2023 11.00;00.01;KWH;Målt;Tidsserie
13/04/2023 12.00;0;KWH;Målt;Tidsserie
13/04/2023 13.00;00.04;KWH;Målt;Tidsserie
13/04/2023 14.00;00.01;KWH;Målt;Tidsserie
13/04/2023 15.00;00.08;KWH;Målt;Tidsserie
13/04/2023 16.00;00.01;KWH;Målt;Tidsserie
13/04/2023 17.00;00.32;KWH;Målt;Tidsserie
13/04/2023 18.00;00.11;KWH;Målt;Tidsserie
13/04/2023 19.00;00.06;KWH;Målt;Tidsserie
13/04/2023 20.00;00.28;KWH;Målt;Tidsserie
13/04/2023 21.00;00.54;KWH;Målt;Tidsserie
13/04/2023 22.00;01.49;KWH;Målt;Tidsserie
13/04/2023 23.00;00.21;KWH;Målt;Tidsserie
14/04/2023 00.00;00.14;KWH;Målt;Tidsserie
14/04/2023 01.00;00.13;KWH;Målt;Tidsserie
14/04/2023 02.00;00.15;KWH;Målt;Tidsserie
14/04/2023 03.00;00.15;KWH;Målt;Tidsserie
14/04/2023 04.00;00.16;KWH;Målt;Tidsserie
14/04/2023 05.00;00.17;KWH;Målt;Tidsserie
14/04/2023 06.00;00.15;KWH;Målt;Tidsserie
14/04/2023 07.00;00.07;KWH;Målt;Tidsserie
14/04/2023 08.00;00.01;KWH;Målt;Tidsserie
14/04/2023 09.00;0;KWH;Målt;Tidsserie
14/04/2023 10.00;00.01;KWH;Målt;Tidsserie
14/04/2023 11.00;00.01;KWH;Målt;Tidsserie
14/04/2023 12.00;00.01;KWH;Målt;Tidsserie
14/04/2023 13.00;00.08;KWH;Målt;Tidsserie
14/04/2023 14.00;00.09;KWH;Målt;Tidsserie
14/04/2023 15.00;00.01;KWH;Målt;Tidsserie
14/04/2023 16.00;00.02;KWH;Målt;Tidsserie
14/04/2023 17.00;00.08;KWH;Målt;Tidsserie
14/04/2023 18.00;00.43;KWH;Målt;Tidsserie
14/04/2023 19.00;00.27;KWH;Målt;Tidsserie
14/04/2023 20.00;0.0916666666666667;KWH;Målt;Tidsserie
14/04/2023 21.00;00.44;KWH;Målt;Tidsserie
14/04/2023 22.00;00.49;KWH;Målt;Tidsserie
14/04/2023 23.00;00.04;KWH;Målt;Tidsserie
15/04/2023 00.00;00.37;KWH;Målt;Tidsserie
15/04/2023 01.00;00.38;KWH;Målt;Tidsserie
15/04/2023 02.00;00.14;KWH;Målt;Tidsserie
15/04/2023 03.00;00.12;KWH;Målt;Tidsserie
15/04/2023 04.00;00.13;KWH;Målt;Tidsserie
15/04/2023 05.00;00.13;KWH;Målt;Tidsserie
15/04/2023 06.00;00.15;KWH;Målt;Tidsserie
15/04/2023 07.00;00.01;KWH;Målt;Tidsserie
15/04/2023 08.00;00.05;KWH;Målt;Tidsserie
15/04/2023 09.00;00.01;KWH;Målt;Tidsserie
15/04/2023 10.00;0;KWH;Målt;Tidsserie
15/04/2023 11.00;0;KWH;Målt;Tidsserie
15/04/2023 12.00;0;KWH;Målt;Tidsserie
15/04/2023 13.00;0;KWH;Målt;Tidsserie
15/04/2023 14.00;0;KWH;Målt;Tidsserie
15/04/2023 15.00;0;KWH;Målt;Tidsserie
15/04/2023 16.00;0;KWH;Målt;Tidsserie
15/04/2023 17.00;0;KWH;Målt;Tidsserie
15/04/2023 18.00;0;KWH;Målt;Tidsserie
15/04/2023 19.00;0;KWH;Målt;Tidsserie
15/04/2023 20.00;00.08;KWH;Målt;Tidsserie
15/04/2023 21.00;00.09;KWH;Målt;Tidsserie
15/04/2023 22.00;00.09;KWH;Målt;Tidsserie
15/04/2023 23.00;00.08;KWH;Målt;Tidsserie
16/04/2023 00.00;00.01;KWH;Målt;Tidsserie
16/04/2023 01.00;00.09;KWH;Målt;Tidsserie
16/04/2023 02.00;00.09;KWH;Målt;Tidsserie
16/04/2023 03.00;00.09;KWH;Målt;Tidsserie
16/04/2023 04.00;00.09;KWH;Målt;Tidsserie
16/04/2023 05.00;00.09;KWH;Målt;Tidsserie
16/04/2023 06.00;00.07;KWH;Målt;Tidsserie
16/04/2023 07.00;00.02;KWH;Målt;Tidsserie
16/04/2023 08.00;0;KWH;Målt;Tidsserie
16/04/2023 09.00;0;KWH;Målt;Tidsserie
16/04/2023 10.00;0;KWH;Målt;Tidsserie
16/04/2023 11.00;0;KWH;Målt;Tidsserie
16/04/2023 12.00;0;KWH;Målt;Tidsserie
16/04/2023 13.00;0;KWH;Målt;Tidsserie
16/04/2023 14.00;0;KWH;Målt;Tidsserie
16/04/2023 15.00;0;KWH;Målt;Tidsserie
16/04/2023 16.00;0;KWH;Målt;Tidsserie
16/04/2023 17.00;0;KWH;Målt;Tidsserie
16/04/2023 18.00;0;KWH;Målt;Tidsserie
16/04/2023 19.00;00.02;KWH;Målt;Tidsserie
16/04/2023 20.00;00.08;KWH;Målt;Tidsserie
16/04/2023 21.00;00.09;KWH;Målt;Tidsserie
16/04/2023 22.00;00.08;KWH;Målt;Tidsserie
16/04/2023 23.00;00.09;KWH;Målt;Tidsserie
17/04/2023 00.00;00.09;KWH;Målt;Tidsserie
17/04/2023 01.00;00.09;KWH;Målt;Tidsserie
17/04/2023 02.00;00.08;KWH;Målt;Tidsserie
17/04/2023 03.00;00.01;KWH;Målt;Tidsserie
17/04/2023 04.00;00.09;KWH;Målt;Tidsserie
17/04/2023 05.00;00.01;KWH;Målt;Tidsserie
17/04/2023 06.00;00.07;KWH;Målt;Tidsserie
17/04/2023 07.00;0;KWH;Målt;Tidsserie
17/04/2023 08.00;0;KWH;Målt;Tidsserie
17/04/2023 09.00;00.01;KWH;Målt;Tidsserie
17/04/2023 10.00;0;KWH;Målt;Tidsserie
17/04/2023 11.00;0;KWH;Målt;Tidsserie
17/04/2023 12.00;0;KWH;Målt;Tidsserie
17/04/2023 13.00;0;KWH;Målt;Tidsserie
17/04/2023 14.00;0;KWH;Målt;Tidsserie
17/04/2023 15.00;0;KWH;Målt;Tidsserie
17/04/2023 16.00;00.33;KWH;Målt;Tidsserie
17/04/2023 17.00;00.25;KWH;Målt;Tidsserie
17/04/2023 18.00;00.45;KWH;Målt;Tidsserie
17/04/2023 19.00;00.01;KWH;Målt;Tidsserie
17/04/2023 20.00;0.0631944444444444;KWH;Målt;Tidsserie
17/04/2023 21.00;0.0645833333333333;KWH;Målt;Tidsserie
17/04/2023 22.00;00.41;KWH;Målt;Tidsserie
17/04/2023 23.00;00.38;KWH;Målt;Tidsserie
18/04/2023 00.00;00.38;KWH;Målt;Tidsserie
18/04/2023 01.00;00.39;KWH;Målt;Tidsserie
18/04/2023 02.00;00.14;KWH;Målt;Tidsserie
18/04/2023 03.00;00.09;KWH;Målt;Tidsserie
18/04/2023 04.00;00.01;KWH;Målt;Tidsserie
18/04/2023 05.00;00.11;KWH;Målt;Tidsserie
18/04/2023 06.00;00.14;KWH;Målt;Tidsserie
18/04/2023 07.00;00.04;KWH;Målt;Tidsserie
18/04/2023 08.00;00.01;KWH;Målt;Tidsserie
18/04/2023 09.00;0;KWH;Målt;Tidsserie
18/04/2023 10.00;0;KWH;Målt;Tidsserie
18/04/2023 11.00;0;KWH;Målt;Tidsserie
18/04/2023 12.00;0;KWH;Målt;Tidsserie
18/04/2023 13.00;0;KWH;Målt;Tidsserie
18/04/2023 14.00;0;KWH;Målt;Tidsserie
18/04/2023 15.00;0;KWH;Målt;Tidsserie
18/04/2023 16.00;0;KWH;Målt;Tidsserie
18/04/2023 17.00;0;KWH;Målt;Tidsserie
18/04/2023 18.00;0;KWH;Målt;Tidsserie
18/04/2023 19.00;0;KWH;Målt;Tidsserie
18/04/2023 20.00;00.16;KWH;Målt;Tidsserie
18/04/2023 21.00;00.32;KWH;Målt;Tidsserie
18/04/2023 22.00;00.13;KWH;Målt;Tidsserie
18/04/2023 23.00;00.14;KWH;Målt;Tidsserie
19/04/2023 00.00;00.14;KWH;Målt;Tidsserie
19/04/2023 01.00;00.12;KWH;Målt;Tidsserie
19/04/2023 02.00;00.12;KWH;Målt;Tidsserie
19/04/2023 03.00;00.14;KWH;Målt;Tidsserie
19/04/2023 04.00;00.16;KWH;Målt;Tidsserie
19/04/2023 05.00;00.13;KWH;Målt;Tidsserie
19/04/2023 06.00;00.12;KWH;Målt;Tidsserie
19/04/2023 07.00;00.05;KWH;Målt;Tidsserie
19/04/2023 08.00;00.01;KWH;Målt;Tidsserie
19/04/2023 09.00;00.05;KWH;Målt;Tidsserie
19/04/2023 10.00;00.02;KWH;Målt;Tidsserie
19/04/2023 11.00;00.03;KWH;Målt;Tidsserie
19/04/2023 12.00;0;KWH;Målt;Tidsserie
19/04/2023 13.00;0;KWH;Målt;Tidsserie
19/04/2023 14.00;0;KWH;Målt;Tidsserie
19/04/2023 15.00;0;KWH;Målt;Tidsserie
19/04/2023 16.00;0;KWH;Målt;Tidsserie
19/04/2023 17.00;0;KWH;Målt;Tidsserie
19/04/2023 18.00;0;KWH;Målt;Tidsserie
19/04/2023 19.00;0;KWH;Målt;Tidsserie
19/04/2023 20.00;00.24;KWH;Målt;Tidsserie
19/04/2023 21.00;00.26;KWH;Målt;Tidsserie
19/04/2023 22.00;00.37;KWH;Målt;Tidsserie
19/04/2023 23.00;00.38;KWH;Målt;Tidsserie
20/04/2023 00.00;00.43;KWH;Målt;Tidsserie
20/04/2023 01.00;00.42;KWH;Målt;Tidsserie
20/04/2023 02.00;00.28;KWH;Målt;Tidsserie
20/04/2023 03.00;00.15;KWH;Målt;Tidsserie
20/04/2023 04.00;00.13;KWH;Målt;Tidsserie
20/04/2023 05.00;00.13;KWH;Målt;Tidsserie
20/04/2023 06.00;00.11;KWH;Målt;Tidsserie
20/04/2023 07.00;00.13;KWH;Målt;Tidsserie
20/04/2023 08.00;00.07;KWH;Målt;Tidsserie
20/04/2023 09.00;0;KWH;Målt;Tidsserie
20/04/2023 10.00;00.02;KWH;Målt;Tidsserie
20/04/2023 11.00;0;KWH;Målt;Tidsserie
20/04/2023 12.00;00.31;KWH;Målt;Tidsserie
20/04/2023 13.00;00.16;KWH;Målt;Tidsserie
20/04/2023 14.00;0;KWH;Målt;Tidsserie
20/04/2023 15.00;0;KWH;Målt;Tidsserie
20/04/2023 16.00;0;KWH;Målt;Tidsserie
20/04/2023 17.00;00.04;KWH;Målt;Tidsserie
20/04/2023 18.00;00.27;KWH;Målt;Tidsserie
20/04/2023 19.00;00.55;KWH;Målt;Tidsserie
20/04/2023 20.00;0.0548611111111111;KWH;Målt;Tidsserie
20/04/2023 21.00;00.39;KWH;Målt;Tidsserie
20/04/2023 22.00;00.42;KWH;Målt;Tidsserie
20/04/2023 23.00;00.42;KWH;Målt;Tidsserie
21/04/2023 00.00;00.43;KWH;Målt;Tidsserie
21/04/2023 01.00;00.41;KWH;Målt;Tidsserie
21/04/2023 02.00;00.23;KWH;Målt;Tidsserie
21/04/2023 03.00;00.15;KWH;Målt;Tidsserie
21/04/2023 04.00;00.14;KWH;Målt;Tidsserie
21/04/2023 05.00;00.14;KWH;Målt;Tidsserie
21/04/2023 06.00;00.12;KWH;Målt;Tidsserie
21/04/2023 07.00;00.03;KWH;Målt;Tidsserie
21/04/2023 08.00;00.01;KWH;Målt;Tidsserie
21/04/2023 09.00;00.04;KWH;Målt;Tidsserie
21/04/2023 10.00;00.05;KWH;Målt;Tidsserie
21/04/2023 11.00;00.03;KWH;Målt;Tidsserie
21/04/2023 12.00;0;KWH;Målt;Tidsserie
21/04/2023 13.00;0;KWH;Målt;Tidsserie
21/04/2023 14.00;0;KWH;Målt;Tidsserie
21/04/2023 15.00;0;KWH;Målt;Tidsserie
21/04/2023 16.00;0;KWH;Målt;Tidsserie
21/04/2023 17.00;0;KWH;Målt;Tidsserie
21/04/2023 18.00;0;KWH;Målt;Tidsserie
21/04/2023 19.00;00.16;KWH;Målt;Tidsserie
21/04/2023 20.00;00.06;KWH;Målt;Tidsserie
21/04/2023 21.00;00.19;KWH;Målt;Tidsserie
21/04/2023 22.00;00.28;KWH;Målt;Tidsserie
21/04/2023 23.00;00.37;KWH;Målt;Tidsserie
22/04/2023 00.00;00.38;KWH;Målt;Tidsserie
22/04/2023 01.00;00.36;KWH;Målt;Tidsserie
22/04/2023 02.00;00.36;KWH;Målt;Tidsserie
22/04/2023 03.00;00.37;KWH;Målt;Tidsserie
22/04/2023 04.00;00.14;KWH;Målt;Tidsserie
22/04/2023 05.00;00.17;KWH;Målt;Tidsserie
22/04/2023 06.00;00.13;KWH;Målt;Tidsserie
22/04/2023 07.00;00.06;KWH;Målt;Tidsserie
22/04/2023 08.00;00.06;KWH;Målt;Tidsserie
22/04/2023 09.00;00.11;KWH;Målt;Tidsserie
22/04/2023 10.00;0;KWH;Målt;Tidsserie
22/04/2023 11.00;0;KWH;Målt;Tidsserie
22/04/2023 12.00;0.0423611111111111;KWH;Målt;Tidsserie
22/04/2023 13.00;0;KWH;Målt;Tidsserie
22/04/2023 14.00;00.24;KWH;Målt;Tidsserie
22/04/2023 15.00;00.07;KWH;Målt;Tidsserie
22/04/2023 16.00;0;KWH;Målt;Tidsserie
22/04/2023 17.00;00.52;KWH;Målt;Tidsserie
22/04/2023 18.00;0.0527777777777778;KWH;Målt;Tidsserie
22/04/2023 19.00;00.08;KWH;Målt;Tidsserie
22/04/2023 20.00;01.01;KWH;Målt;Tidsserie
22/04/2023 21.00;0.0618055555555556;KWH;Målt;Tidsserie
22/04/2023 22.00;00.28;KWH;Målt;Tidsserie
22/04/2023 23.00;00.27;KWH;Målt;Tidsserie
23/04/2023 00.00;00.39;KWH;Målt;Tidsserie
23/04/2023 01.00;00.37;KWH;Målt;Tidsserie
23/04/2023 02.00;00.37;KWH;Målt;Tidsserie
23/04/2023 03.00;00.41;KWH;Målt;Tidsserie
23/04/2023 04.00;00.04;KWH;Målt;Tidsserie
23/04/2023 05.00;00.14;KWH;Målt;Tidsserie
23/04/2023 06.00;00.12;KWH;Målt;Tidsserie
23/04/2023 07.00;00.04;KWH;Målt;Tidsserie
23/04/2023 08.00;00.03;KWH;Målt;Tidsserie
23/04/2023 09.00;00.01;KWH;Målt;Tidsserie
23/04/2023 10.00;0;KWH;Målt;Tidsserie
23/04/2023 11.00;0;KWH;Målt;Tidsserie
23/04/2023 12.00;0;KWH;Målt;Tidsserie
23/04/2023 13.00;0;KWH;Målt;Tidsserie
23/04/2023 14.00;0;KWH;Målt;Tidsserie
23/04/2023 15.00;0;KWH;Målt;Tidsserie
23/04/2023 16.00;0;KWH;Målt;Tidsserie
23/04/2023 17.00;01.37;KWH;Målt;Tidsserie
23/04/2023 18.00;00.04;KWH;Målt;Tidsserie
23/04/2023 19.00;00.27;KWH;Målt;Tidsserie
23/04/2023 20.00;01.31;KWH;Målt;Tidsserie
23/04/2023 21.00;00.41;KWH;Målt;Tidsserie
23/04/2023 22.00;00.29;KWH;Målt;Tidsserie
23/04/2023 23.00;00.31;KWH;Målt;Tidsserie
24/04/2023 00.00;00.28;KWH;Målt;Tidsserie
24/04/2023 01.00;00.12;KWH;Målt;Tidsserie
24/04/2023 02.00;00.14;KWH;Målt;Tidsserie
24/04/2023 03.00;00.13;KWH;Målt;Tidsserie
24/04/2023 04.00;00.13;KWH;Målt;Tidsserie
24/04/2023 05.00;00.12;KWH;Målt;Tidsserie
24/04/2023 06.00;00.15;KWH;Målt;Tidsserie
24/04/2023 07.00;00.13;KWH;Målt;Tidsserie
24/04/2023 08.00;0;KWH;Målt;Tidsserie
24/04/2023 09.00;00.01;KWH;Målt;Tidsserie
24/04/2023 10.00;0;KWH;Målt;Tidsserie
24/04/2023 11.00;0;KWH;Målt;Tidsserie
24/04/2023 12.00;0;KWH;Målt;Tidsserie
24/04/2023 13.00;0;KWH;Målt;Tidsserie
24/04/2023 14.00;0;KWH;Målt;Tidsserie
24/04/2023 15.00;00.01;KWH;Målt;Tidsserie
24/04/2023 16.00;00.04;KWH;Målt;Tidsserie
24/04/2023 17.00;0;KWH;Målt;Tidsserie
24/04/2023 18.00;0.0423611111111111;KWH;Målt;Tidsserie
24/04/2023 19.00;00.19;KWH;Målt;Tidsserie
24/04/2023 20.00;00.04;KWH;Målt;Tidsserie
24/04/2023 21.00;00.38;KWH;Målt;Tidsserie
24/04/2023 22.00;00.36;KWH;Målt;Tidsserie
24/04/2023 23.00;00.17;KWH;Målt;Tidsserie
25/04/2023 00.00;00.17;KWH;Målt;Tidsserie
25/04/2023 01.00;00.17;KWH;Målt;Tidsserie
25/04/2023 02.00;00.17;KWH;Målt;Tidsserie
25/04/2023 03.00;00.17;KWH;Målt;Tidsserie
25/04/2023 04.00;00.17;KWH;Målt;Tidsserie
25/04/2023 05.00;00.16;KWH;Målt;Tidsserie
25/04/2023 06.00;00.16;KWH;Målt;Tidsserie
25/04/2023 07.00;00.06;KWH;Målt;Tidsserie
25/04/2023 08.00;0;KWH;Målt;Tidsserie
25/04/2023 09.00;00.03;KWH;Målt;Tidsserie
25/04/2023 10.00;0;KWH;Målt;Tidsserie
25/04/2023 11.00;0;KWH;Målt;Tidsserie
25/04/2023 12.00;0;KWH;Målt;Tidsserie
25/04/2023 13.00;0;KWH;Målt;Tidsserie
25/04/2023 14.00;00.02;KWH;Målt;Tidsserie
25/04/2023 15.00;00.03;KWH;Målt;Tidsserie
25/04/2023 16.00;00.06;KWH;Målt;Tidsserie
25/04/2023 17.00;00.54;KWH;Målt;Tidsserie
25/04/2023 18.00;00.04;KWH;Målt;Tidsserie
25/04/2023 19.00;0.0597222222222222;KWH;Målt;Tidsserie
25/04/2023 20.00;0.0590277777777778;KWH;Målt;Tidsserie
25/04/2023 21.00;00.39;KWH;Målt;Tidsserie
25/04/2023 22.00;00.36;KWH;Målt;Tidsserie
25/04/2023 23.00;00.37;KWH;Målt;Tidsserie
26/04/2023 00.00;00.18;KWH;Målt;Tidsserie
26/04/2023 01.00;00.13;KWH;Målt;Tidsserie
26/04/2023 02.00;00.13;KWH;Målt;Tidsserie
26/04/2023 03.00;00.14;KWH;Målt;Tidsserie
26/04/2023 04.00;00.14;KWH;Målt;Tidsserie
26/04/2023 05.00;00.13;KWH;Målt;Tidsserie
26/04/2023 06.00;00.08;KWH;Målt;Tidsserie
26/04/2023 07.00;00.05;KWH;Målt;Tidsserie
26/04/2023 08.00;00.09;KWH;Målt;Tidsserie
26/04/2023 09.00;00.01;KWH;Målt;Tidsserie
26/04/2023 10.00;0;KWH;Målt;Tidsserie
26/04/2023 11.00;00.02;KWH;Målt;Tidsserie
26/04/2023 12.00;00.03;KWH;Målt;Tidsserie
26/04/2023 13.00;00.06;KWH;Målt;Tidsserie
26/04/2023 14.00;00.05;KWH;Målt;Tidsserie
26/04/2023 15.00;00.01;KWH;Målt;Tidsserie
26/04/2023 16.00;00.02;KWH;Målt;Tidsserie
26/04/2023 17.00;00.11;KWH;Målt;Tidsserie
26/04/2023 18.00;00.02;KWH;Målt;Tidsserie
26/04/2023 19.00;0.0451388888888889;KWH;Målt;Tidsserie
26/04/2023 20.00;01.09;KWH;Målt;Tidsserie
26/04/2023 21.00;01.04;KWH;Målt;Tidsserie
26/04/2023 22.00;00.35;KWH;Målt;Tidsserie
26/04/2023 23.00;00.37;KWH;Målt;Tidsserie
27/04/2023 00.00;00.14;KWH;Målt;Tidsserie
27/04/2023 01.00;00.14;KWH;Målt;Tidsserie
27/04/2023 02.00;00.15;KWH;Målt;Tidsserie
27/04/2023 03.00;00.15;KWH;Målt;Tidsserie
27/04/2023 04.00;00.15;KWH;Målt;Tidsserie
27/04/2023 05.00;00.15;KWH;Målt;Tidsserie
27/04/2023 06.00;00.04;KWH;Målt;Tidsserie
27/04/2023 07.00;00.04;KWH;Målt;Tidsserie
27/04/2023 08.00;00.54;KWH;Målt;Tidsserie
27/04/2023 09.00;00.59;KWH;Målt;Tidsserie
27/04/2023 10.00;00.01;KWH;Målt;Tidsserie
27/04/2023 11.00;00.32;KWH;Målt;Tidsserie
27/04/2023 12.00;00.01;KWH;Målt;Tidsserie
27/04/2023 13.00;00.02;KWH;Målt;Tidsserie
27/04/2023 14.00;00.05;KWH;Målt;Tidsserie
27/04/2023 15.00;0;KWH;Målt;Tidsserie
27/04/2023 16.00;00.01;KWH;Målt;Tidsserie
27/04/2023 17.00;00.33;KWH;Målt;Tidsserie
27/04/2023 18.00;0.04375;KWH;Målt;Tidsserie
27/04/2023 19.00;0;KWH;Målt;Tidsserie
27/04/2023 20.00;00.02;KWH;Målt;Tidsserie
27/04/2023 21.00;00.46;KWH;Målt;Tidsserie
27/04/2023 22.00;00.36;KWH;Målt;Tidsserie
27/04/2023 23.00;00.13;KWH;Målt;Tidsserie
28/04/2023 00.00;00.13;KWH;Målt;Tidsserie
28/04/2023 01.00;00.15;KWH;Målt;Tidsserie
28/04/2023 02.00;00.13;KWH;Målt;Tidsserie
28/04/2023 03.00;00.14;KWH;Målt;Tidsserie
28/04/2023 04.00;00.16;KWH;Målt;Tidsserie
28/04/2023 05.00;00.14;KWH;Målt;Tidsserie
28/04/2023 06.00;00.08;KWH;Målt;Tidsserie
28/04/2023 07.00;00.01;KWH;Målt;Tidsserie
28/04/2023 08.00;00.45;KWH;Målt;Tidsserie
28/04/2023 09.00;00.08;KWH;Målt;Tidsserie
28/04/2023 10.00;00.05;KWH;Målt;Tidsserie
28/04/2023 11.00;00.11;KWH;Målt;Tidsserie
28/04/2023 12.00;00.29;KWH;Målt;Tidsserie
28/04/2023 13.00;00.35;KWH;Målt;Tidsserie
28/04/2023 14.00;00.02;KWH;Målt;Tidsserie
28/04/2023 15.00;00.04;KWH;Målt;Tidsserie
